Sample	Type	RR(ms)
85040	0	766	
85111	2	361	
85243	0	772	
85315	2	361	
85444	0	755	
85516	2	361	
85645	0	755	
85717	2	361	
85846	0	755	
85918	2	361	
86049	0	766	
86120	2	355	
86251	0	766	
86322	2	355	
86453	0	766	
86524	2	355	
86654	0	761	
86725	2	355	
86856	0	766	
86926	2	350	
87057	0	766	
87128	2	355	
87259	0	766	
87330	2	355	
87460	0	755	
87532	2	366	
87663	0	761	
87734	2	361	
87865	0	766	
87936	2	355	
88066	0	761	
88138	2	361	
88268	0	761	
88340	2	361	
88469	0	750	
88542	2	377	
88672	0	755	
88743	2	355	
88874	0	766	
88945	2	355	
89078	0	777	
89150	2	361	
89283	0	777	
89354	2	366	
89490	0	783	
89561	2	355	
89697	0	794	
89768	2	355	
89906	0	805	
89977	2	355	
90113	0	794	
90184	2	355	
90321	0	800	
90391	2	350	
90528	0	800	
90598	2	361	
90736	0	794	
90806	2	361	
90947	0	811	
91017	2	361	
91158	0	805	
91228	2	366	
91374	0	838	
91444	2	350	
91589	0	844	
91658	2	355	
91805	0	844	
91875	2	361	
92021	0	838	
92090	2	355	
92239	0	855	
92308	2	355	
92456	0	850	
92526	2	350	
92676	0	872	
92746	2	355	
92896	0	866	
92966	2	350	
93115	0	866	
93184	2	355	
93336	0	872	
93406	2	350	
93556	0	872	
93625	2	355	
93776	0	866	
93846	2	350	
93992	0	850	
94062	2	361	
94211	0	855	
94280	2	355	
94431	0	866	
94501	2	361	
94657	0	894	
94727	2	355	
94885	0	905	
94955	2	355	
95115	0	927	
95185	2	350	
95350	0	955	
95466	0	644	
95537	2	366	
95708	0	977	
95778	2	361	
95952	0	994	
96073	0	672	
96144	2	366	
96313	0	966	
96383	2	350	
96552	0	977	
96622	2	350	
96789	0	966	
96859	2	350	
97023	0	950	
97093	2	361	
97258	0	944	
97328	2	361	
97491	0	933	
97561	2	361	
97726	0	944	
97796	2	361	
97960	0	938	
98029	2	355	
98198	0	966	
98268	2	361	
98438	0	972	
98507	2	355	
98689	0	1038	
98813	0	688	
98884	2	366	
99075	0	1088	
99204	0	716	
99275	2	366	
99478	0	1155	
99609	0	727	
99680	2	355	
99876	0	1127	
100003	0	705	
100074	2	355	
100256	0	1050	
100376	0	666	
100449	2	366	
100609	0	927	
100681	2	361	
100842	0	933	
100915	2	366	
101072	0	911	
101145	2	366	
101299	0	894	
101372	2	366	
101523	0	877	
101596	2	377	
101745	0	850	
101819	2	377	
101968	0	866	
102042	2	372	
102189	0	855	
102262	2	366	
102407	0	844	
102481	2	372	
102626	0	844	
102700	2	372	
102842	0	827	
102915	2	366	
103058	0	833	
103131	2	366	
103274	0	833	
103347	2	366	
103486	0	811	
103559	2	366	
103698	0	811	
103771	2	366	
103910	0	811	
103982	2	361	
104120	0	805	
104192	2	361	
104329	0	800	
104401	2	361	
104539	0	805	
104611	2	361	
104745	0	783	
104817	2	361	
104953	0	794	
105025	2	361	
105159	0	783	
105231	2	361	
105365	0	783	
105437	2	372	
105569	0	761	
105641	2	361	
105772	0	766	
105844	2	361	
105976	0	772	
106047	2	355	
106177	0	755	
106249	2	366	
106379	0	761	
106450	2	355	
106580	0	761	
106651	2	355	
106781	0	761	
106852	2	355	
106984	0	772	
107055	2	355	
107185	0	761	
